Source,Target,Weight
teach,student,1
student,differ,1
student,probabl,1
differ,poros,2
differ,reptil,2
differ,soil,1
differ,amount,1
differ,group,1
poros,permeabl,2
permeabl,two,1
permeabl,hands-on,1
two,properti,1
two,ingredi,1
properti,soil,1
soil,rock,1
soil,scienc,1
soil,mixtur,1
soil,differ,1
soil,’,1
soil,water,1
rock,relat,1
relat,better,1
better,way,1
way,understand,1
understand,differ,1
hands-on,lab…,1
lab…,tell,1
tell,differ,1
tell,apart,1
tell,time,1
reptil,amphibian,1
reptil,vs,1
reptil,cool,1
amphibian,challeng,1
amphibian,use,1
challeng,afteral,1
afteral,ectotherm,1
ectotherm,vertebr,1
vertebr,anim,1
vertebr,mean,1
anim,key,1
anim,adapt,1
anim,avoid,1
anim,call,1
anim,disguis,1
anim,blend,1
anim,use,1
key,differ,1
vs,amphibian,1
use,tell,1
use,camouflag,1
use,homemad,1
use,sun,1
apart,lungs…,1
lungs…,studi,1
studi,soil,1
studi,anim,1
scienc,garden,1
garden,agricultur,1
agricultur,student,1
probabl,learn,1
learn,soil,1
learn,first-hand,1
learn,recent,1
mixtur,sediment,1
sediment,organ,1
organ,matter,2
matter,differ,1
matter,content…,1
amount,two,1
ingredi,soil,1
’,organ,1
’,got,1
’,put,1
content…,“,1
“,jar,1
jar,test,1
jar,watch,1
test,”,1
”,great,1
great,classroom,1
classroom,shake,1
shake,soil,1
water,jar,1
watch,grain,1
grain,settl,2
grain,studi,1
settl,time,1
settl,faster,1
time,larger,1
time,creat,1
larger,grain,1
faster,smaller,1
smaller,grain,1
adapt,class,1
adapt,help,1
class,noth,1
class,vertebrates…,1
class,1,1
noth,quit,1
quit,like,1
like,camouflag,1
like,someth,1
camouflag,lab,1
camouflag,adapt,1
camouflag,camouflag,1
camouflag,may,1
camouflag,protect,1
lab,learn,1
lab,activ,1
lab,spring,1
first-hand,conceal,1
conceal,color,1
color,help,1
help,anim,3
avoid,eaten,1
eaten,predat,1
predat,lab,1
activ,simpl,1
activ,idea,1
simpl,effect,1
simpl,solar,1
effect,showing…,1
showing…,get,1
get,readi,1
readi,lot,1
lot,new,1
new,wild,1
wild,earth,1
earth,lab,1
earth,orbit,2
earth,everi,2
earth,line,2
spring,plu,1
plu,’,1
got,need,1
need,prepar,1
prepar,april,1
april,solar,1
solar,eclips,6
eclips,read,1
eclips,happen,3
eclips,viewer,1
eclips,use,1
read,learn,1
recent,releas,1
releas,unit,1
unit,free,1
unit,star,1
free,resourc,1
resourc,’,1
put,togeth,1
togeth,a…,1
a…,reptil,1
cool,group,1
group,critter,1
group,class,1
critter,–,1
–,cold-blood,1
–,use,1
cold-blood,part,1
part,bigger,1
bigger,categori,1
categori,anim,1
call,vertebr,1
mean,backbon,1
backbon,seven,1
seven,differ,1
vertebrates…,camouflag,1
disguis,appear,1
appear,mani,1
mani,type,1
mani,prey,1
type,camouflag,1
may,help,1
blend,background,1
background,look,1
look,like,1
look,directli,1
someth,ined,1
someth,special,2
ined,toxic,1
toxic,mani,1
prey,anim,1
protect,from…,1
from…,know,1
know,earth,2
orbit,sun,2
orbit,earth,2
sun,moon,4
sun,damag,1
sun,unit,1
sun,activ,1
sun,tell,1
moon,orbit,2
moon,earth,2
moon,passes…,2
everi,sun,2
line,someth,2
special,happen,2
happen,solar,2
happen,moon,2
happen,live,1
passes…,solar,1
live,make,1
make,simpl,1
viewer,household,1
household,materi,1
materi,look,1
directli,sun,1
damag,eye,1
eye,howev,1
howev,view,1
view,solar,1
homemad,eclipse…,1
eclipse…,plan,1
plan,sun,1
plan,semest,1
star,lesson,1
star,sun,1
lesson,plan,1
semest,tri,1
tri,star,1
idea,class,1
1,diy,1
diy,sundial,2
sundial,diy,1
sundial,–,1
creat,sundial.…,1
sundial.…,know,1
