Source,Target,Weight
want,learn,1
want,write,1
learn,start,1
start,lifestyl,2
start,blog,1
start,success,1
start,guid,1
start,person,1
lifestyl,blog,13
lifestyl,succeed,1
lifestyl,blogger,1
lifestyl,nich,1
blog,start,1
blog,excel,1
blog,career,1
blog,lifestyl,1
blog,10,1
blog,type,1
blog,often,1
blog,rather,1
blog,’,2
blog,exampl,1
blog,must,1
blog,put,1
blog,know,1
blog,cover,1
blog,also,1
blog,anyth,1
blog,differ,1
blog,dadcamp,1
blog,post,2
blog,nich,1
excel,way,1
way,share,1
share,passion,1
share,latest,1
share,person,1
passion,world,1
world,right,1
right,turn,1
turn,hobbi,1
hobbi,interest,1
interest,full-tim,1
interest,daili,1
interest,help,1
interest,skill,1
full-tim,blog,1
career,start,1
succeed,’,1
’,worri,1
’,show,1
’,get,2
’,stick,1
’,limit,1
’,take,1
’,write,1
’,go,1
’,broad,1
’,pick,1
worri,’,1
show,guid,1
guid,walk,1
guid,lifestyl,1
walk,start,1
success,lifestyl,1
10,easi,1
easi,step,1
step,let,1
let,’,2
get,start,1
get,enough,1
type,websit,1
type,blog,1
websit,blogger,1
blogger,write,1
blogger,share,1
write,life,1
write,varieti,1
write,new,1
write,everi,1
life,experi,1
life,like,1
life,everyth,1
life,subject,1
life,’,1
experi,interest,1
experi,inspir,1
daili,activ,2
activ,lifestyl,1
activ,life,1
often,person,1
person,type,1
person,experi,1
person,blog,1
rather,share,1
latest,news,1
news,industri,1
industri,teach,1
teach,reader,1
reader,subject,1
reader,pick,1
subject,lifestyl,2
subject,relev,1
subject,blog,1
subject,write,1
inspir,other,1
other,lifestyl,1
stick,1,1
1,topic,1
1,subject,1
topic,creat,1
topic,subject,1
topic,relat,1
topic,interest,1
topic,want,1
topic,like,2
topic,narrow,1
creat,content,1
content,variou,1
variou,subject,1
relev,life,1
like,parent,2
like,parenthood,1
like,“,1
parent,cook,1
parent,travel,1
parent,help,1
cook,fit,1
fit,beauti,1
beauti,colleg,1
colleg,life,1
everyth,els,1
els,feel,1
els,give,1
feel,free,1
free,jump,1
jump,page,1
page,great,1
great,lifestyl,1
exampl,context,1
exampl,lifestyl,1
context,start,1
must,nail,1
nail,lifestyl,1
nich,nich,1
nich,topic,1
nich,need,2
nich,let,1
nich,choos,1
nich,like,1
put,simpli,1
simpli,answer,1
answer,question,1
question,blog,1
know,basic,1
know,lifestyl,1
basic,lifestyl,1
cover,topic,2
relat,daili,1
also,know,1
also,keep,1
limit,1,1
varieti,topic,1
help,decid,2
help,determin,1
decid,topic,1
decid,nich,1
new,blog,1
anyth,els,1
give,focu,1
focu,help,1
focu,would,1
determin,blog,1
differ,competit,1
competit,exampl,1
dadcamp,cover,1
travel,blog,1
travel,also,1
post,art,1
post,idea,1
art,craft,1
craft,creativ,1
creativ,modern,1
modern,parent,1
need,ask,1
need,keep,1
ask,make,1
make,list,1
list,interest,1
list,pick,1
skill,use,1
use,list,1
pick,3-4,1
pick,nich,2
pick,specif,1
pick,topic,1
pick,narrow,1
3-4,lifestyl,1
idea,pick,1
take,look,1
look,popular,1
popular,lifestyl,1
choos,pick,1
keep,mind,2
mind,two,1
mind,’,1
two,thing,1
thing,’,2
everi,singl,1
singl,thing,1
go,life,1
broad,focu,1
would,place,1
place,instead,1
instead,pick,1
specif,topic,1
parenthood,food,1
food,travel,1
narrow,’,1
narrow,nich,1
enough,reader,1
“,keto,1
keto,diet,1
diet,tip,1
tip,peopl,1
peopl,50,1
50,year,1
year,old,1
old,”,1
